Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
5/17/17,2017,5,17,Wednesday,20,2017-20,240.08,240.08,235.75,235.82,172174100,210.97,-0.017743811,213.8135714,211.594
5/18/17,2017,5,18,Thursday,20,2017-20,235.73,237.75,235.43,236.77,107047700,211.82,0.004028362,213.73,211.6162
5/19/17,2017,5,19,Friday,20,2017-20,237.33,239.08,237.27,238.31,115011400,213.2,0.006504191,213.7064286,211.6606
5/22/17,2017,5,22,Monday,21,2017-21,238.9,239.71,238.82,239.52,61010600,214.28,0.005077315,213.7542857,211.7118
5/23/17,2017,5,23,Tuesday,21,2017-21,239.95,240.24,239.51,240.05,48341700,214.75,0.002213006,213.8542857,211.7702
5/24/17,2017,5,24,Wednesday,21,2017-21,240.32,240.73,239.93,240.61,46927700,215.25,0.002332817,213.9721429,211.8548
5/25/17,2017,5,25,Thursday,21,2017-21,241.2,242.08,240.96,241.76,64071700,216.28,0.004779467,214.1035714,211.9236
5/26/17,2017,5,26,Friday,21,2017-21,241.54,241.9,241.45,241.71,46629900,216.24,-0.000206854,214.235,212
5/30/17,2017,5,30,Tuesday,22,2017-22,241.34,241.79,241.16,241.5,35201900,216.05,-0.000868799,214.3664286,212.08
5/31/17,2017,5,31,Wednesday,22,2017-22,241.84,241.88,240.64,241.44,91796000,216,-0.000248464,214.4671429,212.1636
6/1/17,2017,6,1,Thursday,22,2017-22,241.97,243.38,241.64,243.36,68962000,217.71,0.007952265,214.7214286,212.3358
6/2/17,2017,6,2,Friday,22,2017-22,243.42,244.35,243.08,244.17,88666100,218.44,0.00332856,215.0535714,212.5128
6/5/17,2017,6,5,Monday,23,2017-23,243.97,244.3,243.76,243.99,44698800,218.28,-0.000737381,215.2892857,212.691
6/6/17,2017,6,6,Tuesday,23,2017-23,243.34,243.98,243.12,243.21,50375400,217.58,-0.003196722,215.4892857,212.8584
6/7/17,2017,6,7,Wednesday,23,2017-23,243.6,243.92,242.83,243.66,54144300,217.98,0.001850309,215.99,213.038
6/8/17,2017,6,8,Thursday,23,2017-23,243.77,244.33,243.17,243.78,65950700,218.09,0.000492243,216.4378571,213.1894
6/9/17,2017,6,9,Friday,23,2017-23,244.09,245.01,241.95,243.41,132256400,217.76,-0.001517773,216.7635714,213.3302
6/12/17,2017,6,12,Monday,24,2017-24,243.13,243.42,242.38,243.36,86108100,217.71,-0.000205312,217.0085714,213.4566
6/13/17,2017,6,13,Tuesday,24,2017-24,243.98,244.61,243.58,244.55,60067000,218.78,0.004889953,217.2964286,213.6142
6/14/17,2017,6,14,Wednesday,24,2017-24,244.86,244.87,243.29,244.24,78602300,218.5,-0.001267558,217.5285714,213.7736
6/15/17,2017,6,15,Thursday,24,2017-24,242.68,243.91,242.36,243.77,66464900,218.08,-0.001924282,217.6571429,213.922
6/16/17,2017,6,16,Friday,24,2017-24,242.77,242.83,241.63,242.64,84553100,218.13,0.000218373,217.7921429,214.0838
6/19/17,2017,6,19,Monday,25,2017-25,243.59,244.73,243.48,244.66,65123800,219.94,0.008325036,218.07,214.27
6/20/17,2017,6,20,Tuesday,25,2017-25,244.25,244.26,242.99,243.01,56906400,218.46,-0.006744044,218.2457143,214.431
6/21/17,2017,6,21,Wednesday,25,2017-25,243.46,243.59,242.41,242.95,55977600,218.41,-0.00024684,218.2957143,214.5884
6/22/17,2017,6,22,Thursday,25,2017-25,242.96,243.53,242.64,242.84,44148100,218.31,-0.000452861,218.2864286,214.7488
6/23/17,2017,6,23,Friday,25,2017-25,242.91,243.51,242.47,243.13,66986800,218.57,0.001194243,218.3071429,214.9328
6/26/17,2017,6,26,Monday,26,2017-26,243.9,244.38,243.05,243.29,56700500,218.71,0.000658054,218.3878571,215.1468
6/27/17,2017,6,27,Tuesday,26,2017-26,243.04,243.38,241.31,241.33,82247700,216.95,-0.008056239,218.3142857,215.2888
6/28/17,2017,6,28,Wednesday,26,2017-26,242.5,243.72,242.23,243.49,70042600,218.89,0.008950618,218.3714286,215.4822
6/29/17,2017,6,29,Thursday,26,2017-26,243.66,243.72,239.96,241.35,106949700,216.97,-0.008788888,218.315,215.6448
6/30/17,2017,6,30,Friday,26,2017-26,242.28,242.71,241.58,241.8,86820700,217.37,0.001864311,218.2907143,215.7814
7/3/17,2017,7,3,Monday,27,2017-27,242.88,243.38,242.21,242.21,39153800,217.74,0.001695739,218.2164286,215.9388
7/5/17,2017,7,5,Wednesday,27,2017-27,242.63,243.01,241.7,242.77,54427600,218.24,0.002312076,218.1978571,216.06
7/6/17,2017,7,6,Thursday,27,2017-27,241.89,242.03,240.34,240.55,65400800,216.25,-0.009144609,218.0671429,216.1168
7/7/17,2017,7,7,Friday,27,2017-27,241.21,242.28,240.56,242.11,57972300,217.65,0.006485296,218.0328571,216.2042
7/10/17,2017,7,10,Monday,28,2017-28,242.11,242.8,241.76,242.37,36663300,217.88,0.001073825,217.8857143,216.2928
7/11/17,2017,7,11,Tuesday,28,2017-28,242.37,242.55,240.85,242.19,50354600,217.72,-0.000742614,217.8328571,216.3874
7/12/17,2017,7,12,Wednesday,28,2017-28,243.3,244.2,243.3,244.01,59610400,219.36,0.007514359,217.9007143,216.504
7/13/17,2017,7,13,Thursday,28,2017-28,244.02,244.55,243.76,244.42,39471600,219.73,0.001680521,218.0021429,216.6264
7/14/17,2017,7,14,Friday,28,2017-28,244.42,245.97,244.31,245.56,60262700,220.75,0.004664216,218.1578571,216.7744
